settlement_id,lifecycle_id,account_id,merchant_name,transaction_date,settlement_date,settlement_amount,settlement_type,currency
SET001,LC001,ACC123,Amazon.com,14-08-2025,15-08-2025,125.99,DEBIT,USD
SET002,LC002,ACC124,Starbucks,14-08-2025,15-08-2025,4.75,DEBIT,USD
SET003,LC003,ACC125,ShellGas,14-08-2025,15-08-2025,35.3,DEBIT,USD
SET004,LC004,ACC126,BestBuy,14-08-2025,15-08-2025,899.99,DEBIT,USD
SET005,LC004,ACC126,BestBuy,14-08-2025,15-08-2025,20,CREDIT,USD
SET006,LC005,ACC127,HomeDepot,14-08-2025,15-08-2025,150,DEBIT,USD
SET007,LC005,ACC127,HomeDepot,14-08-2025,15-08-2025,84.5,DEBIT,USD
SET008,LC006,ACC128,Target,14-08-2025,15-08-2025,87.25,DEBIT,USD
SET009,LC007,ACC129,Walmart,14-08-2025,15-08-2025,180.78,DEBIT,USD
SET010,LC008,ACC130,Apple,05-08-2025,06-08-2025,1299.99,DEBIT,USD
SET011,LC008,ACC130,Apple,05-08-2025,08-08-2025,299.99,CREDIT,USD
SET012,LC009,ACC131,Nike,14-08-2025,15-08-2025,189.95,DEBIT,USD
SET014,,ACC135,CornerDeli,14-08-2025,15-08-2025,32.45,DEBIT,USD
SET015,,ACC136,Shell Gas,14-08-2025,15-08-2025,28.9,DEBIT,USD
SET016,LC999,ACC199,DisneyPlus,14-08-2025,15-08-2025,99.99,DEBIT,USD
SET017,,ACC137,Amazon.com,14-08-2025,15-08-2025,199.99,DEBIT,USD
SET018,,ACC777,Uber Taxi,10-08-2025,11-08-2025,25.75,DEBIT,USD
SET019,LC002,ACC124,Starbucks,14-08-2025,15-08-2025,1.5,CREDIT,USD
SET020,LC006,ACC128,Target,14-08-2025,15-08-2025,12.25,CREDIT,USD
